Doug,Make,Model,Version,Kilometers,Engine,Fuel Type,Transmission,Year,City,Price,Currency,Link
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,30000 km,3.5,Nafta,Automática,2022,Capital Federal,105000,USD,https://auto.mercadolibre.com.ar/MLA-1390531835-ford-f-150-raptor-2022-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,42000 km,2.0,Diésel,Automática,2021,Pilar,95000,USD,https://auto.mercadolibre.com.ar/MLA-1528918938-ford-f-150-2021-f-150-raptor-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,26500 km,3.5,Nafta,Automática,2020,San Miguel,95000,USD,https://auto.mercadolibre.com.ar/MLA-1546085462-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,500 km,3.5,Nafta,Automática,2023,Capital Federal,135000,USD,https://auto.mercadolibre.com.ar/MLA-1543220536-ford-f-150-raptor-2023-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,999999 km,3.5,Nafta,Automática,2023,Carlos Casares,103500,USD,https://auto.mercadolibre.com.ar/MLA-1535193954-ford-raptor-f-150-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,58000 km,3.5,Nafta,Automática,2021,Córdoba,88000,USD,https://auto.mercadolibre.com.ar/MLA-1393167135-ford-f-150-raptor-35-v6-456hp-4x4-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,54000 km,3.5,Nafta,Automática,2020,Villa Carlos Paz,98500,USD,https://auto.mercadolibre.com.ar/MLA-1381987869-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,25000 km,3.5,Nafta,Automática,2021,La Falda,90000,USD,https://auto.mercadolibre.com.ar/MLA-1390973059-ford-f-150-raptor-2021-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,53000 km,3.5,Nafta,Automática,2022,Maipú,115000,USD,https://auto.mercadolibre.com.ar/MLA-1391431343-ford-f-150-raptor-2022-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,F-150 Raptor 3.5L V6,43860 km,3.5,Diésel,Automática,2020,Córdoba,81620000,USD,https://auto.mercadolibre.com.ar/MLA-1538600460-f-150-raptor-35l-v6-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,43000 km,3.5,Nafta,Automática,2020,Rosario,86000,USD,https://auto.mercadolibre.com.ar/MLA-1391762475-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,150000 km,3.5,Nafta,Automática,2021,Capital Federal,75000,USD,https://auto.mercadolibre.com.ar/MLA-1391561207-ford-f150-raptor-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,72000 km,3.5,Nafta,Automática,2020,Pilar,95000,USD,https://auto.mercadolibre.com.ar/MLA-1390906899-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,550 km,3.5,Nafta,Automática,2022,Pilar,113000,USD,https://auto.mercadolibre.com.ar/MLA-1393223481-ford-f-150-raptor-2022-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,42000 km,3.5,Nafta,Automática,2023,San Juan Capital,120000,USD,https://auto.mercadolibre.com.ar/MLA-1392515407-ford-f-150-raptor-2023-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,38600 km,3.5,Nafta,Automática,2020,Capital Federal,97000,USD,https://auto.mercadolibre.com.ar/MLA-1528234026-ford-raptor-f150-2020-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Vicente López,115000,USD,https://auto.mercadolibre.com.ar/MLA-1384468330-peunord-ford-f-150-raptor-ano-2022-0-km-entrega-inmediata-_JM
