Doug,Make,Model,Version,Kilometers,Engine,Fuel Type,Transmission,Year,City,Price,Currency,Link
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,48000 km,3.5,Diésel,Automática,2020,Pilar,90000,USD,https://auto.mercadolibre.com.ar/MLA-1391410851-ford-f-150-raptor-35l-bi-turbo-2020-_JM
BMW M4 Competition 2021,BMW,Serie M,M4 Competition Coupé,0 km,510 cv,Nafta,Automática,2023,Capital Federal,249900,USD,https://auto.mercadolibre.com.ar/MLA-1380839797-bmw-m4-competition-coupe-_JM
BMW M4 Competition 2021,BMW,Serie M,M4 Competition Coupé,0 km,510 CV,Nafta,Automática,2023,Vicente López,249900,USD,https://auto.mercadolibre.com.ar/MLA-1390347609-bmw-m4-competition-coupe-_JM
BMW M4 Competition 2021,BMW,Serie 4,m4 competition,20000 km,3.0 T / 6 cil / 510 hp,Nafta,Automática secuencial,2020,Esteban Echeverría,193500,USD,https://auto.mercadolibre.com.ar/MLA-1507083674-bmw-serie-4-m4-competition-_JM
Aston Martin Vantage Roadster 2021,Aston Martin,Vantage,ROADSTER SPORTSHIFT V8,31000 km,V8,Nafta,Automática,2009,Capital Federal,169900,USD,https://auto.mercadolibre.com.ar/MLA-1387693057-aston-martin-vantage-roadster-ferrari-porsche-maserati-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,16500 km,3.5,Nafta,Automática,2021,La Matanza,97000,USD,https://auto.mercadolibre.com.ar/MLA-1388802497-ford-f-150-raptor-2021-negro-16500-kms-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,42000 km,2.0,Diésel,Automática,2021,Pilar,95000,USD,https://auto.mercadolibre.com.ar/MLA-1528918938-ford-f-150-2021-f-150-raptor-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,58000 km,3.5,Nafta,Automática,2021,Córdoba,88000,USD,https://auto.mercadolibre.com.ar/MLA-1393167135-ford-f-150-raptor-35-v6-456hp-4x4-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,25000 km,3.5,Nafta,Automática,2021,La Falda,90000,USD,https://auto.mercadolibre.com.ar/MLA-1390973059-ford-f-150-raptor-2021-35l-bi-turbo-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,150000 km,3.5,Nafta,Automática,2021,Capital Federal,75000,USD,https://auto.mercadolibre.com.ar/MLA-1391561207-ford-f150-raptor-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,30000 km,3.5,Nafta,Automática,2021,Ezeiza,99800,USD,https://auto.mercadolibre.com.ar/MLA-1393224151-ford-f-150-raptor-2021-35l-bi-turbo-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,58000 km,3.5,Nafta,Automática,2021,Vicente López,110000,USD,https://auto.mercadolibre.com.ar/MLA-1385250443-ford-f-150-raptor-2021-35l-bi-turbo-blindada-rb3-tomas-bord-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,16500 km,3.5,Nafta,Automática,2021,Capital Federal,97000,USD,https://auto.mercadolibre.com.ar/MLA-1388850553-ford-f-150-raptor-unica-mano-negro-2021-16500-kms-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,30000 km,3.5,Nafta,Automática,2021,La Matanza,105000,USD,https://auto.mercadolibre.com.ar/MLA-1388059731-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,37000 km,3.5,Nafta,Automática,2021,Yerba Buena,100000,USD,https://auto.mercadolibre.com.ar/MLA-1391176787-ford-f-150-raptor-2021-35l-bi-turbo-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,170000 km,3.5,Nafta,Automática,2021,Capital Federal,77000,USD,https://auto.mercadolibre.com.ar/MLA-1524507170-ford-f-150-raptor-2021-35l-bi-turbo-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,20840 km,3.5,Nafta,Automática,2022,Pilar,109000,USD,https://auto.mercadolibre.com.ar/MLA-1392534103-ford-f-150-f-150-raptor-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Vicente López,115000,USD,https://auto.mercadolibre.com.ar/MLA-1495891516-f-150-raptor-ford-peunord-v6-4x4-ano-2022-0-km-at-35l-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Vicente López,115000,USD,https://auto.mercadolibre.com.ar/MLA-1386488797-peunord-ford-f-150-raptor-35l-v6-4x4-at-0-km-ano-2022-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,57000 km,3.5,Nafta,Automática,2020,Capital Federal,83000,USD,https://auto.mercadolibre.com.ar/MLA-1533703548-ford-f150-raptor-2020-v6-at-4x4-smart-garage-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2023,Zárate,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1392032417-ford-f-150-raptor-35l-bi-turbo-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,17800 km,2.0,Diésel,Automática,2022,Capital Federal,109000,USD,https://auto.mercadolibre.com.ar/MLA-1499428022-ford-f150-raptor-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,San Isidro,101314400,USD,https://auto.mercadolibre.com.ar/MLA-1530982234-ford-f-150-raptor-pv-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,1200 km,3.5,Nafta,Automática,2023,San Miguel,128000,USD,https://auto.mercadolibre.com.ar/MLA-1391056567-ford-f-150-raptor-2023-35l-bi-turbo-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,49600 km,2.0,Nafta,Automática,2020,Resistencia,95000,USD,https://auto.mercadolibre.com.ar/MLA-1472012720-ford-f-150-raptor-35l-v6-ecoboost-4x4-at-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Tigre,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1532665576-ford-ranger-f-150-raptor-entrega-inmediata-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Tigre,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1371938985-ford-f-150-raptor-35-v6-bi-turbo-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2023,Berazategui,119000,USD,https://auto.mercadolibre.com.ar/MLA-1425608608-ford-f-150-raptor-0km-patentada-2023-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,56000 km,3.5,Nafta,Automática,2020,Capital Federal,105000,USD,https://auto.mercadolibre.com.ar/MLA-1391170037-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,36235 km,2.0,Diésel,Automática,2023,Capital Federal,95000,USD,https://auto.mercadolibre.com.ar/MLA-1491156198-ford-f150-raptor-35-v6-4x4-at-2023-36235km-viel-automotores-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,0 km,3.5,Nafta,Automática,2022,9 de Julio,105000,USD,https://auto.mercadolibre.com.ar/MLA-1377092028-ford-f-150-raptor-2022-35l-bi-turbo-_JM
Ford F-150 Raptor 2021,Ford,F-150,F-150 Raptor,76101 km,2.0,Diésel,Automática,2020,Capital Federal,100000,USD,https://auto.mercadolibre.com.ar/MLA-1384715537-ford-f-150-raptor-_JM
Ford F-150 Raptor 2021,Ford,F-150 Raptor,3.5l Bi-turbo,31000 km,3.5,Nafta,Automática,2020,Capital Federal,100000,USD,https://auto.mercadolibre.com.ar/MLA-1393056333-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Porsche 911 Turbo 2007,Porsche,911,3.8 Turbo S,77000 km,3.8,Nafta,Manual,1998,San Isidro,299000,USD,https://auto.mercadolibre.com.ar/MLA-1533910398-porsche-911-turbo-930-1980-_JM
Porsche 911 Turbo 2007,Porsche,911,CABRIO TURBO LOOK 83,35000 km,3.5,Nafta,Manual,2023,Vicente López,124900,USD,https://auto.mercadolibre.com.ar/MLA-1382721201-porsche-911-cabrio-turbo-look-83-_JM
Porsche 911 Turbo 2007,Porsche,911,911 930 cabrio turbo look,30000 km,3.5,Nafta,Manual,1983,Vicente López,124900,USD,https://auto.mercadolibre.com.ar/MLA-1382277577-porsche-911-cabrio-turbo-look-paxton-supercharged-1983-_JM
Porsche 911 Turbo 2007,Porsche,911,3.8 Turbo S 580cv,1200 km,3.8,Nafta,Automática,2022,Capital Federal,400004,USD,https://auto.mercadolibre.com.ar/MLA-1506175386-porsche-911-911-turbo-s-_JM
Audi RS3 2018,Audi,RS3,Sportback 2.5 TFSI QUATTRO,29000 km,2.5 Tfsi Quattro,Nafta,Automática secuencial,2018,Pilar,105000,USD,https://auto.mercadolibre.com.ar/MLA-1543811334-audi-rs3-sportback-quattro-_JM
Audi RS3 2018,Audi,RS3,Sportback 2.5 TFSI QUATTRO,36000 km,2.5 Tfsi Quattro,Nafta,Automática,2018,Pilar,95000,USD,https://auto.mercadolibre.com.ar/MLA-1527203664-audi-rs3-sportback-25-tfsi-quattro-2018-_JM
Audi RS3 2018,Audi,RS3,2.5 Sedan 400cv,565 km,2.5,Nafta,Automática,2018,San Isidro,135000,USD,https://auto.mercadolibre.com.ar/MLA-1386710213-audi-rs3-25-tfsi-quattro-stro-sportba-2018-_JM
Audi RS3 2018,Audi,RS3,2.5 hatchback,20000 km,2.5t,Nafta,Automática,2018,Vicente López,105000,USD,https://auto.mercadolibre.com.ar/MLA-1385640701-audi-rs3-25-hatchback-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,11850 km,3.0,Nafta,Automática,2017,Vicente López,107000,USD,https://auto.mercadolibre.com.ar/MLA-1391383631-bmw-m2-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,19900 km,3.0,Nafta,Automática,2017,Escobar,112000,USD,https://auto.mercadolibre.com.ar/MLA-1543205120-bmw-serie-m-2017-30-m2-_JM
BMW M2 2017,BMW,Serie M,M2 Coupe 3.0 460cv,35000 km,3.0 460CV,Nafta,Automática secuencial,2017,Pilar,99000,USD,https://auto.mercadolibre.com.ar/MLA-1390275385-bmw-m2-coupe-serie-m-30-460cv-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,20000 km,3.0,Nafta,Automática,2017,Vicente López,109999,USD,https://auto.mercadolibre.com.ar/MLA-1384941399-bmw-m2-m2-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,20000 km,3.0,Nafta,Automática,2017,Vicente López,109999,USD,https://auto.mercadolibre.com.ar/MLA-1483763958-bmw-serie-m-2017-30-m2-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,20000 km,3.0,Nafta,Automática,2017,Vicente López,109999,USD,https://auto.mercadolibre.com.ar/MLA-1384865335-bmw-m2-2017-20000-km-no-rs3-a45-a35-m3-m4-s3-s5-_JM
BMW M2 2017,BMW,M2,M2 Coupe,38000 km,3.0,Nafta,Automática,2017,Castelar,105000,USD,https://auto.mercadolibre.com.ar/MLA-1510124194-bmw-m2-m2-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,8700 km,3.0,Nafta,Automática,2017,Ezeiza,114900,USD,https://auto.mercadolibre.com.ar/MLA-1511780250-bmw-serie-m-30-m2-f87-coupe-370cv-2017-car-cash-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,20000 km,3.0,Nafta,Automática,2017,Vicente López,115000,USD,https://auto.mercadolibre.com.ar/MLA-1391114719-bmw-m2-_JM
BMW M2 2017,BMW,Serie 2,M2,10000 km,3.0,Nafta,Automática,2017,Capital Federal,110000,USD,https://auto.mercadolibre.com.ar/MLA-1387441877-bmw-serie-2-m2-_JM
BMW M2 2017,BMW,M2,3.0 M2,19900 km,3.0,Nafta,Automática,2017,Escobar,110000,USD,https://auto.mercadolibre.com.ar/MLA-1391689237-bmw-m2-m2-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,25000 km,3.0,Nafta,Automática,2018,Pilar,108000,USD,https://auto.mercadolibre.com.ar/MLA-1543811304-bmw-serie-m-30-460cv-m2-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,10800 km,3.0,Nafta,Automática,2018,Capital Federal,130000,USD,https://auto.mercadolibre.com.ar/MLA-1386099007-bmw-serie-m-2018-30-m2-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,9000 km,3.0,Nafta,Automática,2018,Tigre,110000,USD,https://auto.mercadolibre.com.ar/MLA-1512130270-bmw-m2-_JM
BMW M2 2017,BMW,Serie M,3.0 M2,3800 km,3.0,Nafta,Automática,2018,Vicente López,115000,USD,https://auto.mercadolibre.com.ar/MLA-1393062939-bmw-m2-m3-m4-m5-m240i-240-440-m440i-_JM
Alfa Romeo Giulia Quadrifoglio 2017,Alfa Romeo,Giulia,2.9 V6 510cv Quadrifoglio,0 km,2.9,Nafta,Automática,2021,Capital Federal,186000,USD,https://auto.mercadolibre.com.ar/MLA-1485832524-alfa-romeo-giulia-quadrifoglio-verde-510cv-_JM
Toyota Supra 3.0 2021,Toyota,Supra,3.0 Coupe,66000 km,3.0,Nafta,Manual,1992,Capital Federal,30000,USD,https://auto.mercadolibre.com.ar/MLA-1390873433-toyota-supra-30-coupe-_JM
Toyota Supra 3.0 2021,Toyota,Supra,3.0 Coupe,105000 km,3.0,Nafta,Manual,1992,Capital Federal,13000,USD,https://auto.mercadolibre.com.ar/MLA-1524523628-toyota-supra-_JM
BMW M340i 2020,BMW,Serie 3,M340i Linea nueva Tope de gama,19500 km,Turbo con 387 CV,Nafta,Automática,2020,La Plata,94000,USD,https://auto.mercadolibre.com.ar/MLA-1489656650-bmw-m340i-ano-2020-bmw-340-bmw-340i-no-audi-s4-ni-c300-_JM
BMW M340i 2020,BMW,Serie M340i,Xdrive,29000 km,Turbo con 387 CV,Nafta,Automática secuencial,2020,Berazategui,95000,USD,https://auto.mercadolibre.com.ar/MLA-1391810613-bmw-m340i-m340-xdrive-2020-_JM
Audi Q8 2019,Audi,Q8,3.0 55 Tfsi Quattro,0 km,3.0,Nafta,Automática,2021,Capital Federal,166200,USD,https://auto.mercadolibre.com.ar/MLA-1393367729-audi-q8-55-tfsi-quattro-s-line-_JM
Audi Q8 2019,Audi,Q8,3.0 55 Tfsi Quattro,0 km,3.0,Nafta,Automática,2021,San Isidro,179999,USD,https://auto.mercadolibre.com.ar/MLA-1392420807-audi-0-km-q8-2021-gris-samurai-hibrida-audi-norden-oficial-_JM
Audi Q8 2019,Audi,Q8,3.0 55 Tfsi Quattro,0 km,3.0,Nafta,Automática,2021,Capital Federal,166200,USD,https://auto.mercadolibre.com.ar/MLA-1512234616-audi-q8-55-tfsi-s-line-quattro-tiptronic-340cv-_JM
Audi Q8 2019,Audi,Q8,3.0 55 Tfsi Quattro,0 km,3.0,Nafta,Automática,2021,Capital Federal,166200,USD,https://auto.mercadolibre.com.ar/MLA-1385737327-audi-q8-q7-glc-400-bmw-x5-x6-quattro-4x4-2021-2022-hibrid-0k-_JM
Audi Q8 2019,Audi,Q8,3.0 55 Tfsi Quattro,0 km,3.0,Nafta,Automática,2023,Capital Federal,188000,USD,https://auto.mercadolibre.com.ar/MLA-1283584563-audi-q8-2023-30-55-tfsi-quattro-_JM
Audi Q8 2019,Audi,Q8,3.0 55 Tfsi Quattro,0 km,3.0,Nafta,Automática,2023,Capital Federal,188000,USD,https://auto.mercadolibre.com.ar/MLA-1512183804-nueva-audi-a8-55-quattro-v6-v8-rs-sline-2023-hibirido-_JM
Audi Q8 2019,Audi,Q8,3.0 55 Tfsi Quattro,0 km,3.0,Nafta,Automática,2021,Capital Federal,166200,USD,https://auto.mercadolibre.com.ar/MLA-1382724569-audi-q8-0km-30-55-tfsi-quattro-_JM
Audi Q8 2019,Audi,Q8,3.0 45 Tdi Quattro,67000 km,3.0,Nafta,Automática,2020,Capital Federal,184900,USD,https://auto.mercadolibre.com.ar/MLA-1481618932-audi-q8-30-tdi-45-quattro-tiptronic-2020-diesel-_JM
Audi Q8 2019,Audi,Q8,3.0 55 Tfsi Quattro,0 km,3.0,Nafta,Automática,2021,Capital Federal,166200,USD,https://auto.mercadolibre.com.ar/MLA-1429304090-audi-q8-0km-2021-55-tfsi-quattro-automatica-2023-mild-hybrid-_JM
BMW M240i 2022,BMW,Serie 2,M240i xDrive,0 km,6 cilindros 387 cv,Nafta,Automática,2022,Vicente López,114900,USD,https://auto.mercadolibre.com.ar/MLA-1144172071-bmw-m240i-xdrive-2023-_JM
BMW M240i 2022,BMW,Serie 2,2.0 M240i Mpackage Lci Coupé,20000 km,2.0,Nafta,Automática,2022,Ezeiza,75500,USD,https://auto.mercadolibre.com.ar/MLA-1544820338-bmw-serie-2-2022-20-m240i-mpackage-lci-coupe-_JM
BMW M240i 2022,BMW,Serie 2,2.0 M240i Mpackage Lci Coupé,14000 km,2.0,Nafta,Automática,2022,Capital Federal,86900,USD,https://auto.mercadolibre.com.ar/MLA-1391173339-bmw-serie-2-2022-20-m240i-mpackage-lci-coupe-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 40d M Package 313cv,46000 km,3.0,Diésel,Automática,2019,Capital Federal,99900,USD,https://auto.mercadolibre.com.ar/MLA-1502467350-bmw-x5-30-xdrive-40d-m-package-313cv-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 35i 306cv Pure Excellence,23800 km,3.0,Nafta,Automática,2019,Vicente López,99900,USD,https://auto.mercadolibre.com.ar/MLA-1523624780-bmw-x5-35i-xdrive-pure-excellence-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 40d M Package 313cv,28000 km,3.0,Diésel,Automática,2019,Capital Federal,99900,USD,https://auto.mercadolibre.com.ar/MLA-1514785280-bmw-x5-40d-xdrive-at-m-package-m-performance-2019-28000-kms-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 35i 306cv Pure Excellence,42500 km,3.0,Nafta,Automática,2019,La Matanza,110000,USD,https://auto.mercadolibre.com.ar/MLA-1515193836-bmw-x5-2019-30-xdrive-35i-306cv-pure-excellence-_JM
BMW X5 2019,BMW,X5,3.0 D Executive Stept,155000 km,3.0,Diésel,Automática,2008,Capital Federal,25000,USD,https://auto.mercadolibre.com.ar/MLA-1543060972-bmw-x5-2008-30-d-executive-stept-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 40d M Package 313cv,65000 km,3.0,Diésel,Automática,2017,Funes,95000,USD,https://auto.mercadolibre.com.ar/MLA-1391305661-bmw-x5-xdrive-40d-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 35i Executive 306cv,87000 km,3.0,Nafta,Automática,2013,Capital Federal,31999,USD,https://auto.mercadolibre.com.ar/MLA-1543236184-bmw-x5-2013-2012-2014-x1-x3-x4-x6-serie-1-2-3-xdrive-328-118-_JM
BMW X5 2019,BMW,X5,4.8 Is Premium Stept,150016 km,4.8,Nafta,Automática,2007,Córdoba,21000,USD,https://auto.mercadolibre.com.ar/MLA-1470460610-bmw-x5-48i-premium-steptronic-2007-_JM
BMW X5 2019,BMW,X5,4.4 Xdrive 50i 449cv M Package,80000 km,4.4,Nafta,Automática,2015,Pilar,68000,USD,https://auto.mercadolibre.com.ar/MLA-1543862260-bmw-x5-44-xdrive-50i-449cv-m-package-_JM
BMW X5 2019,BMW,X5,4.8 Is Premium Stept,127000 km,4.8,Nafta,Automática,2008,General San Martín,21500,USD,https://auto.mercadolibre.com.ar/MLA-1391533443-bmw-x5-48i-premium-stept-motor-v8-todo-terreno-_JM
BMW X5 2019,BMW,X5,3.0 D Executive,120000 km,3.0,Diésel,Manual,2008,San Isidro,22500,USD,https://auto.mercadolibre.com.ar/MLA-1483070240-bmw-x5-automatica-_JM
BMW X5 2019,BMW,X5,3.0 Si Executive,128000 km,3.0,Nafta,Automática,2008,Moreno,24500,USD,https://auto.mercadolibre.com.ar/MLA-1389999969-impecable-bmw-x5-30-si-automatica-ano-2008-solo-128000-km-_JM
BMW X5 2019,BMW,X5,3.0 D Executive Stept,152000 km,3.0,Eléctrico,Automática,2008,Esteban Echeverría,27000,USD,https://auto.mercadolibre.com.ar/MLA-1530400854-bmw-x5-30d-e70-diesel-3-filas-de-asiento-_JM
BMW X5 2019,BMW,X5,4.4 M 555cv,98000 km,4.4,Nafta,Automática,2010,Capital Federal,53000,USD,https://auto.mercadolibre.com.ar/MLA-1390847071-bmw-x5-2010-44-m-555cv-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 40d M Package 313cv,59000 km,3.0,Eléctrico,Automática,2018,Capital Federal,99000,USD,https://auto.mercadolibre.com.ar/MLA-1393075855-bmw-x5-40d-x5-x6-x4-x3-x5-pack-m-x5-35i-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 35i Executive 306cv,129500 km,3.0,Nafta,Automática,2013,Tigre,28500,USD,https://auto.mercadolibre.com.ar/MLA-1541798156-bmw-x5-35i-xdrive-pack-m-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 35i Executive 306cv,97000 km,3.0,Nafta,Automática,2013,Capital Federal,37000,USD,https://auto.mercadolibre.com.ar/MLA-1390847073-bmw-x5-2013-30-xdrive-35i-executive-306cv-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 40d M Package 313cv,59345 km,3.0,Diésel,Automática,2018,Capital Federal,95000,USD,https://auto.mercadolibre.com.ar/MLA-1541008020-bmw-x5-30-xdrive-40d-m-package-313cv-igual-a-0km-_JM
BMW X5 2019,BMW,X5,4.4 Xdrive 50i 449cv Security,10000 km,4.4,Nafta,Automática,2020,Córdoba,158000,USD,https://auto.mercadolibre.com.ar/MLA-1383111125-bmw-x5-xdrive-40i-xline-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 35i Executive 306cv,90000 km,3.0,Nafta,Automática,2016,Capital Federal,54999,USD,https://auto.mercadolibre.com.ar/MLA-1390924295-bmw-x5-2016-30-xdrive-35i-executive-306cv-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 35i Executive 306cv,69500 km,3.0,Nafta,Automática,2014,Capital Federal,37000,USD,https://auto.mercadolibre.com.ar/MLA-1525583572-bmw-x5-2014-30-xdrive-35i-executive-306cv-_JM
BMW X5 2019,BMW,X5,3.0 Xdrive 35i 306cv Pure Excellence,75000 km,3.0,Nafta,Automática,2016,Castelar,59900,USD,https://auto.mercadolibre.com.ar/MLA-1478277760-bmw-x5-30-xdrive-35i-306cv-3-filas-con-7-asientos-_JM
BMW X5 2019,BMW,X5,3.0 D Executive Stept,145000 km,3.0,Eléctrico,Automática,2008,Capital Federal,22000,USD,https://auto.mercadolibre.com.ar/MLA-1392987089-bmw-x5-2008-30-d-executive-stept-_JM
Land Rover Range Rover Supercharged 2018,Land Rover,Range Rover Sport,supercharged 4.2 V8 396cv,65000 km,4.2 V8,Nafta,Automática,2007,Tigre,29000,USD,https://auto.mercadolibre.com.ar/MLA-1390064121-range-rover-sport-supercharged-_JM
Porsche Macan S 2019,Porsche,Macan,3.0 S 340cv Automática,70000 km,3.0,Nafta,Automática,2018,Pilar,160000,USD,https://auto.mercadolibre.com.ar/MLA-1531049260-porsche-macan-30-s-340cv-_JM
Porsche Macan S 2019,Porsche,Macan,3.0 S 340cv Automática,8800 km,3.0,Nafta,Automática,2018,Vicente López,169000,USD,https://auto.mercadolibre.com.ar/MLA-1544827842-porsche-macan-2018-30-s-340cv-automatica-_JM
Porsche Macan S 2019,Porsche,Macan,3.0 S 245cv,18900 km,3.0,Diésel,Manual,2017,Capital Federal,169900,USD,https://auto.mercadolibre.com.ar/MLA-1391900425-porsche-macan-porsche-macan-s-diesel-unica-unidad-_JM
Porsche Macan S 2019,Porsche,Macan,3.0 S 340cv,49700 km,3.0,Nafta,Manual,2017,Alta Gracia,129000,USD,https://auto.mercadolibre.com.ar/MLA-1388711201-porsche-macan-s-2017-_JM
Porsche Macan S 2019,Porsche,Macan,3.0 S 340cv,115479 km,3.0,Nafta,Automática,2016,San Isidro,116000,USD,https://auto.mercadolibre.com.ar/MLA-1389853085-porsche-macan-s-2016-_JM
Porsche Macan S 2019,Porsche,Macan,3.0 S 340cv,22000 km,3.0,Nafta,Manual,2017,Vicente López,147500,USD,https://auto.mercadolibre.com.ar/MLA-1490064300-porsche-macan-2017-30-s-340cv-_JM
Porsche Macan S 2019,Porsche,Macan,3.0 S 340cv,54000 km,3.0,Nafta,Manual,2017,Rosario,150000,USD,https://auto.mercadolibre.com.ar/MLA-1383335725-porsche-macan-2017-30-s-340cv-_JM
Porsche Macan S 2019,Porsche,Macan,3.0 S 340cv Automática,19500 km,3.0,Nafta,Automática,2018,Luján,160000,USD,https://auto.mercadolibre.com.ar/MLA-1389917199-porsche-macan-s-30-v6-biturbo-at-345cv-n-2018-_JM
Porsche Macan S 2019,Porsche,Macan,3.0 S 340cv,73000 km,3.0,Nafta,Manual,2017,Capital Federal,104900,USD,https://auto.mercadolibre.com.ar/MLA-1511814630-porsche-macan-2017-30-s-340cv-_JM
Porsche Macan S 2019,Porsche,105-MACAN S,10-TODO TERRENO,54850 km,3.0,Nafta,Manual,2016,Mendoza,135000,USD,https://auto.mercadolibre.com.ar/MLA-1528080940-porsche-105-macan-s-10-todo-terreno-_JM
Ferrari California 2011,Ferrari,California,4.3 460cv,10301 km,4.3,Nafta,Automática,2010,Capital Federal,500000,USD,https://auto.mercadolibre.com.ar/MLA-1543124014-ferrari-california-cabriolet-_JM
Ferrari California 2011,Ferrari,California,Turbo 4.3 510 cv,1001 km,4.3 510 cv turbo,Nafta,Automática secuencial,2015,Capital Federal,520000,USD,https://auto.mercadolibre.com.ar/MLA-1470384664-ferrari-california-turbo-malek-fara-_JM
Ferrari California 2011,Ferrari,California,Turbo,3000 km,4.3 510 cv turbo,Nafta,Automática secuencial,2015,Capital Federal,520000,USD,https://auto.mercadolibre.com.ar/MLA-1525884452-ferrari-california-turbo-_JM
Mercedes-Benz GLE450 2020,Mercedes-Benz,Clase GLE,3.0 Gle450 4matic 367cv,40000 km,3.0,Nafta,Automática,2020,Capital Federal,139900,USD,https://auto.mercadolibre.com.ar/MLA-1387658761-mercedes-benz-gle450-2020-con-40000kms-autopremium-_JM
Mercedes-Benz GLE450 2020,Mercedes-Benz,Clase GLE,3.0 Gle450 4matic 367cv,42000 km,3.0,Nafta,Automática,2021,Pilar,230000,USD,https://auto.mercadolibre.com.ar/MLA-1393150407-mercedes-benz-clase-gle-30-gle-53-4matic-435cv-_JM
Mercedes-Benz GLE450 2020,Mercedes-Benz,Clase GLE,3.0 Gle450 4matic 367cv,0 km,3.0,Nafta,Automática,2023,Rosario,232500,USD,https://auto.mercadolibre.com.ar/MLA-1464638596-mercedes-benz-gle-450-amg-line-fl-_JM
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,38000 km,2.0,Diésel,Automática,2022,Capital Federal,59000,USD,https://auto.mercadolibre.com.ar/MLA-1505056424-ford-ranger-raptor-2022-20l-biturbo-cabina-doble-4x4-_JM
Ford Raptor 2013,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Vicente López,115000,USD,https://auto.mercadolibre.com.ar/MLA-1495891516-f-150-raptor-ford-peunord-v6-4x4-ano-2022-0-km-at-35l-_JM
